date,blood_type,demand
2019-01-31,o,651
2019-02-01,a,404
2019-02-01,ab,80
2019-02-01,b,430
2019-02-01,o,586
2019-02-02,a,336
2019-02-02,ab,47
2019-02-02,b,351
2019-02-02,o,496
2019-02-03,a,691
2019-02-03,ab,99
2019-02-03,b,473
2019-02-03,o,585
2019-02-04,a,243
2019-02-04,ab,52
2019-02-04,b,296
2019-02-04,o,342
2019-02-05,a,241
2019-02-05,ab,63
2019-02-05,b,315
2019-02-05,o,377
2019-02-06,a,312
2019-02-06,ab,58
2019-02-06,b,346
2019-02-06,o,440
2019-02-07,a,345
2019-02-07,ab,66
2019-02-07,b,375
2019-02-07,o,500
2019-02-08,a,202
2019-02-08,ab,29
2019-02-08,b,286
2019-02-08,o,327
2019-02-09,a,366
2019-02-09,ab,84
2019-02-09,b,395
2019-02-09,o,423
2019-02-10,a,559
2019-02-10,ab,112
2019-02-10,b,677
2019-02-10,o,641
2019-02-11,a,340
2019-02-11,ab,72
2019-02-11,b,392
2019-02-11,o,562
2019-02-12,a,320
2019-02-12,ab,84
2019-02-12,b,440
2019-02-12,o,526
2019-02-13,a,496
2019-02-13,ab,202
2019-02-13,b,578
2019-02-13,o,586
2019-02-14,a,621
2019-02-14,ab,91
2019-02-14,b,678
2019-02-14,o,590
2019-02-15,a,264
2019-02-15,ab,49
2019-02-15,b,283
2019-02-15,o,309
2019-02-16,a,439
2019-02-16,ab,71
2019-02-16,b,470
2019-02-16,o,610
2019-02-17,a,472
2019-02-17,ab,118
2019-02-17,b,547
2019-02-17,o,774
2019-02-18,a,241
2019-02-18,ab,55
2019-02-18,b,331
2019-02-18,o,369
2019-02-19,a,475
2019-02-19,ab,117
2019-02-19,b,565
2019-02-19,o,593
2019-02-20,a,556
2019-02-20,ab,130
2019-02-20,b,641
2019-02-20,o,900
2019-02-21,a,495
2019-02-21,ab,98
2019-02-21,b,554
2019-02-21,o,644
2019-02-22,a,404
2019-02-22,ab,76
2019-02-22,b,435
2019-02-22,o,585
2019-02-23,a,380
2019-02-23,ab,58
2019-02-23,b,442
2019-02-23,o,538
2019-02-24,a,782
2019-02-24,ab,140
2019-02-24,b,721
2019-02-24,o,919
2019-02-25,a,379
2019-02-25,ab,61
2019-02-25,b,355
2019-02-25,o,439
2019-02-26,a,527
2019-02-26,ab,124
2019-02-26,b,615
2019-02-26,o,787
2019-02-27,a,631
2019-02-27,ab,109
2019-02-27,b,746
2019-02-27,o,863
2019-02-28,a,497
2019-02-28,ab,83
2019-02-28,b,543
2019-02-28,o,758
2019-03-01,a,301
2019-03-01,ab,42
2019-03-01,b,243
2019-03-01,o,331
2019-03-02,a,309
2019-03-02,ab,55
2019-03-02,b,364
2019-03-02,o,445
2019-03-03,a,680
2019-03-03,ab,131
2019-03-03,b,747
2019-03-03,o,1027
2019-03-04,a,271
2019-03-04,ab,54
2019-03-04,b,258
2019-03-04,o,427
2019-03-05,a,720
2019-03-05,ab,89
2019-03-05,b,608
2019-03-05,o,801
2019-03-06,a,580
2019-03-06,ab,95
2019-03-06,b,549
2019-03-06,o,834
2019-03-07,a,506
2019-03-07,ab,90
2019-03-07,b,595
2019-03-07,o,776
2019-03-08,a,550
2019-03-08,ab,44
2019-03-08,b,235
2019-03-08,o,411
2019-03-09,a,440
2019-03-09,ab,70
2019-03-09,b,433
2019-03-09,o,529
2019-03-10,a,940
2019-03-10,ab,125
2019-03-10,b,652
2019-03-10,o,1152
2019-03-11,a,327
2019-03-11,ab,39
2019-03-11,b,265
2019-03-11,o,337
2019-03-12,a,415
2019-03-12,ab,54
2019-03-12,b,525
2019-03-12,o,666
2019-03-13,a,732
2019-03-13,ab,104
2019-03-13,b,704
2019-03-13,o,957
2019-03-14,a,485
2019-03-14,ab,72
2019-03-14,b,532
2019-03-14,o,800
2019-03-15,a,315
2019-03-15,ab,58
2019-03-15,b,288
2019-03-15,o,604
2019-03-16,a,448
2019-03-16,ab,70
2019-03-16,b,485
2019-03-16,o,550
2019-03-17,a,727
2019-03-17,ab,133
2019-03-17,b,767
2019-03-17,o,967
2019-03-18,a,422
2019-03-18,ab,73
2019-03-18,b,455
2019-03-18,o,559
2019-03-19,a,686
2019-03-19,ab,157
2019-03-19,b,758
2019-03-19,o,1127
2019-03-20,a,604
2019-03-20,ab,108
2019-03-20,b,469
2019-03-20,o,852
2019-03-21,a,445
2019-03-21,ab,107
2019-03-21,b,462
2019-03-21,o,605
2019-03-22,a,246
2019-03-22,ab,38
2019-03-22,b,252
2019-03-22,o,403
2019-03-23,a,402
2019-03-23,ab,83
2019-03-23,b,334
2019-03-23,o,558
2019-03-24,a,778
2019-03-24,ab,147
2019-03-24,b,656
2019-03-24,o,1128
2019-03-25,a,403
2019-03-25,ab,45
2019-03-25,b,350
2019-03-25,o,447
2019-03-26,a,598
2019-03-26,ab,121
2019-03-26,b,488
2019-03-26,o,759
2019-03-27,a,581
2019-03-27,ab,131
2019-03-27,b,565
2019-03-27,o,1266
2019-03-28,a,501
2019-03-28,ab,84
2019-03-28,b,458
2019-03-28,o,715
2019-03-29,a,221
2019-03-29,ab,52
2019-03-29,b,286
2019-03-29,o,362
2019-03-30,a,331
2019-03-30,ab,60
2019-03-30,b,339
2019-03-30,o,538
2019-03-31,a,486
2019-03-31,ab,111
2019-03-31,b,502
2019-03-31,o,753
2019-04-01,a,234
2019-04-01,ab,30
2019-04-01,b,166
2019-04-01,o,333
2019-04-02,a,408
2019-04-02,ab,107
2019-04-02,b,385
2019-04-02,o,684
2019-04-03,a,407
2019-04-03,ab,83
2019-04-03,b,456
2019-04-03,o,583
2019-04-04,a,461
2019-04-04,ab,75
2019-04-04,b,423
2019-04-04,o,512
2019-04-05,a,202
2019-04-05,ab,53
2019-04-05,b,217
2019-04-05,o,412
2019-04-06,a,486
2019-04-06,ab,75
2019-04-06,b,439
2019-04-06,o,606
2019-04-07,a,594
2019-04-07,ab,97
2019-04-07,b,578
2019-04-07,o,979
2019-04-08,a,251
2019-04-08,ab,41
2019-04-08,b,266
2019-04-08,o,372
2019-04-09,a,687
2019-04-09,ab,127
2019-04-09,b,597
2019-04-09,o,893
2019-04-10,a,512
2019-04-10,ab,92
2019-04-10,b,518
2019-04-10,o,754
2019-04-11,a,587
2019-04-11,ab,104
2019-04-11,b,540
2019-04-11,o,1032
2019-04-12,a,314
2019-04-12,ab,54
2019-04-12,b,307
2019-04-12,o,494
2019-04-13,a,367
2019-04-13,ab,76
2019-04-13,b,381
2019-04-13,o,758
2019-04-14,a,713
2019-04-14,ab,113
2019-04-14,b,739
2019-04-14,o,1183
2019-04-15,a,444
2019-04-15,ab,77
2019-04-15,b,419
2019-04-15,o,731
2019-04-16,a,600
2019-04-16,ab,83
2019-04-16,b,588
2019-04-16,o,903
2019-04-17,a,671
2019-04-17,ab,93
2019-04-17,b,588
2019-04-17,o,1121
2019-04-18,a,523
2019-04-18,ab,78
2019-04-18,b,520
2019-04-18,o,720
2019-04-19,a,273
2019-04-19,ab,37
2019-04-19,b,301
2019-04-19,o,392
2019-04-20,a,431
2019-04-20,ab,77
2019-04-20,b,454
2019-04-20,o,727
2019-04-21,a,703
2019-04-21,ab,115
2019-04-21,b,614
2019-04-21,o,1039
2019-04-22,a,334
2019-04-22,ab,62
2019-04-22,b,449
2019-04-22,o,550
2019-04-23,a,509
2019-04-23,ab,98
2019-04-23,b,389
2019-04-23,o,821
2019-04-24,a,503
2019-04-24,ab,90
2019-04-24,b,448
2019-04-24,o,810
2019-04-25,a,561
2019-04-25,ab,83
2019-04-25,b,449
2019-04-25,o,701
2019-04-26,a,372
2019-04-26,ab,59
2019-04-26,b,266
2019-04-26,o,575
2019-04-27,a,459
2019-04-27,ab,83
2019-04-27,b,421
2019-04-27,o,883
2019-04-28,a,858
2019-04-28,ab,126
2019-04-28,b,732
2019-04-28,o,1420
2019-04-29,a,424
2019-04-29,ab,96
2019-04-29,b,435
2019-04-29,o,651
2019-04-30,a,451
2019-04-30,ab,107
2019-04-30,b,486
2019-04-30,o,858
2019-05-01,a,1335
2019-05-01,ab,258
2019-05-01,b,1152
2019-05-01,o,2333
2019-05-02,a,547
2019-05-02,ab,96
2019-05-02,b,463
2019-05-02,o,677
2019-05-03,a,448
2019-05-03,ab,82
2019-05-03,b,447
2019-05-03,o,859
2019-05-04,a,385
2019-05-04,ab,65
2019-05-04,b,403
2019-05-04,o,668
2019-05-05,a,857
2019-05-05,ab,112
2019-05-05,b,907
2019-05-05,o,1220
2019-05-06,a,61
2019-05-06,ab,15
2019-05-06,b,64
2019-05-06,o,111
2019-05-07,a,145
2019-05-07,ab,38
2019-05-07,b,125
2019-05-07,o,215
2019-05-08,a,148
2019-05-08,ab,30
2019-05-08,b,125
2019-05-08,o,207
2019-05-09,a,240
2019-05-09,ab,32
2019-05-09,b,173
2019-05-09,o,321
2019-05-10,a,193
2019-05-10,ab,27
2019-05-10,b,181
2019-05-10,o,289
2019-05-11,a,257
2019-05-11,ab,52
2019-05-11,b,230
2019-05-11,o,418
2019-05-12,a,605
2019-05-12,ab,97
2019-05-12,b,469
2019-05-12,o,953
2019-05-13,a,124
2019-05-13,ab,17
2019-05-13,b,123
2019-05-13,o,198
2019-05-14,a,151
2019-05-14,ab,32
2019-05-14,b,219
2019-05-14,o,183
2019-05-15,a,308
2019-05-15,ab,42
2019-05-15,b,260
2019-05-15,o,631
2019-05-16,a,275
2019-05-16,ab,62
2019-05-16,b,293
2019-05-16,o,406
2019-05-17,a,170
2019-05-17,ab,54
2019-05-17,b,135
2019-05-17,o,248
2019-05-18,a,225
2019-05-18,ab,52
2019-05-18,b,200
2019-05-18,o,404
2019-05-19,a,835
2019-05-19,ab,163
2019-05-19,b,646
2019-05-19,o,1481
2019-05-20,a,229
2019-05-20,ab,56
2019-05-20,b,166
2019-05-20,o,293
2019-05-21,a,213
2019-05-21,ab,45
2019-05-21,b,171
2019-05-21,o,391
2019-05-22,a,251
2019-05-22,ab,43
2019-05-22,b,221
2019-05-22,o,504
2019-05-23,a,264
2019-05-23,ab,53
2019-05-23,b,227
2019-05-23,o,371
2019-05-24,a,292
2019-05-24,ab,49
2019-05-24,b,218
2019-05-24,o,513
2019-05-25,a,275
2019-05-25,ab,52
2019-05-25,b,206
2019-05-25,o,435
2019-05-26,a,617
2019-05-26,ab,139
2019-05-26,b,532
2019-05-26,o,1137
2019-05-27,a,179
2019-05-27,ab,38
2019-05-27,b,123
2019-05-27,o,273
2019-05-28,a,245
2019-05-28,ab,83
2019-05-28,b,192
2019-05-28,o,352
2019-05-29,a,212
2019-05-29,ab,43
2019-05-29,b,236
2019-05-29,o,423
2019-05-30,a,226
2019-05-30,ab,34
2019-05-30,b,206
2019-05-30,o,288
2019-05-31,a,144
2019-05-31,ab,23
2019-05-31,b,124
2019-05-31,o,266
2019-06-01,a,153
2019-06-01,ab,31
2019-06-01,b,155
2019-06-01,o,288
2019-06-02,a,331
2019-06-02,ab,72
2019-06-02,b,278
2019-06-02,o,680
2019-06-03,a,190
2019-06-03,ab,34
2019-06-03,b,131
2019-06-03,o,316
2019-06-04,a,104
2019-06-04,ab,26
2019-06-04,b,104
2019-06-04,o,177
2019-06-05,a,1
2019-06-05,ab,1
2019-06-05,b,3
2019-06-05,o,6
2019-06-06,a,47
2019-06-06,ab,12
2019-06-06,b,50
2019-06-06,o,107
2019-06-07,a,129
2019-06-07,ab,32
2019-06-07,b,97
2019-06-07,o,225
2019-06-08,a,171
2019-06-08,ab,34
2019-06-08,b,133
2019-06-08,o,291
2019-06-09,a,492
2019-06-09,ab,101
2019-06-09,b,416
2019-06-09,o,905
2019-06-10,a,285
2019-06-10,ab,50
2019-06-10,b,205
2019-06-10,o,459
2019-06-11,a,486
2019-06-11,ab,120
2019-06-11,b,412
2019-06-11,o,857
2019-06-12,a,462
2019-06-12,ab,101
2019-06-12,b,389
2019-06-12,o,791
2019-06-13,a,507
2019-06-13,ab,111
2019-06-13,b,358
2019-06-13,o,963
2019-06-14,a,499
2019-06-14,ab,119
2019-06-14,b,418
2019-06-14,o,969
2019-06-15,a,431
2019-06-15,ab,91
2019-06-15,b,398
2019-06-15,o,856
2019-06-16,a,855
2019-06-16,ab,165
2019-06-16,b,929
2019-06-16,o,1490
2019-06-17,a,328
2019-06-17,ab,77
2019-06-17,b,307
2019-06-17,o,754
2019-06-18,a,426
2019-06-18,ab,122
2019-06-18,b,391
2019-06-18,o,869
2019-06-19,a,540
2019-06-19,ab,131
2019-06-19,b,522
2019-06-19,o,1066
2019-06-20,a,479
2019-06-20,ab,136
2019-06-20,b,413
2019-06-20,o,888
2019-06-21,a,216
2019-06-21,ab,57
2019-06-21,b,281
2019-06-21,o,529
2019-06-22,a,496
2019-06-22,ab,128
2019-06-22,b,455
2019-06-22,o,920
2019-06-23,a,731
2019-06-23,ab,195
2019-06-23,b,706
2019-06-23,o,1360
2019-06-24,a,361
2019-06-24,ab,76
2019-06-24,b,295
2019-06-24,o,640
2019-06-25,a,428
2019-06-25,ab,92
2019-06-25,b,335
2019-06-25,o,777
2019-06-26,a,341
2019-06-26,ab,92
2019-06-26,b,384
2019-06-26,o,831
2019-06-27,a,419
2019-06-27,ab,95
2019-06-27,b,444
2019-06-27,o,848
2019-06-28,a,265
2019-06-28,ab,69
2019-06-28,b,269
2019-06-28,o,526
2019-06-29,a,330
2019-06-29,ab,98
2019-06-29,b,256
2019-06-29,o,592
2019-06-30,a,523
2019-06-30,ab,133
2019-06-30,b,361
2019-06-30,o,1039
2019-07-01,a,160
2019-07-01,ab,50
2019-07-01,b,177
2019-07-01,o,342
2019-07-02,a,256
2019-07-02,ab,66
2019-07-02,b,277
2019-07-02,o,527
2019-07-03,a,437
2019-07-03,ab,124
2019-07-03,b,442
2019-07-03,o,1068
2019-07-04,a,391
2019-07-04,ab,103
2019-07-04,b,350
2019-07-04,o,610
2019-07-05,a,142
2019-07-05,ab,46
2019-07-05,b,145
2019-07-05,o,420
2019-07-06,a,311
2019-07-06,ab,78
2019-07-06,b,262
2019-07-06,o,533
2019-07-07,a,663
2019-07-07,ab,270
2019-07-07,b,702
2019-07-07,o,1493
2019-07-08,a,284
2019-07-08,ab,66
2019-07-08,b,292
2019-07-08,o,476
2019-07-09,a,434
2019-07-09,ab,102
2019-07-09,b,307
2019-07-09,o,728
2019-07-10,a,606
2019-07-10,ab,165
2019-07-10,b,535
2019-07-10,o,1212
2019-07-11,a,403
2019-07-11,ab,80
2019-07-11,b,341
2019-07-11,o,658
2019-07-12,a,181
2019-07-12,ab,66
2019-07-12,b,164
2019-07-12,o,492
2019-07-13,a,594
2019-07-13,ab,129
2019-07-13,b,376
2019-07-13,o,823
2019-07-14,a,536
2019-07-14,ab,160
2019-07-14,b,536
2019-07-14,o,1183
2019-07-15,a,235
2019-07-15,ab,80
2019-07-15,b,290
2019-07-15,o,610
2019-07-16,a,415
2019-07-16,ab,135
2019-07-16,b,408
2019-07-16,o,950
2019-07-17,a,430
2019-07-17,ab,116
2019-07-17,b,398
2019-07-17,o,875
2019-07-18,a,296
2019-07-18,ab,98
2019-07-18,b,323
2019-07-18,o,691
2019-07-19,a,193
2019-07-19,ab,55
2019-07-19,b,181
2019-07-19,o,437
2019-07-20,a,364
2019-07-20,ab,95
2019-07-20,b,381
2019-07-20,o,647
2019-07-21,a,687
2019-07-21,ab,174
2019-07-21,b,594
2019-07-21,o,1272
2019-07-22,a,356
2019-07-22,ab,76
2019-07-22,b,359
2019-07-22,o,657
2019-07-23,a,394
2019-07-23,ab,88
2019-07-23,b,383
2019-07-23,o,832
2019-07-24,a,526
2019-07-24,ab,161
2019-07-24,b,585
2019-07-24,o,1175
2019-07-25,a,553
2019-07-25,ab,106
2019-07-25,b,604
2019-07-25,o,806
2019-07-26,a,575
2019-07-26,ab,98
2019-07-26,b,422
2019-07-26,o,830
2019-07-27,a,337
2019-07-27,ab,72
2019-07-27,b,295
2019-07-27,o,622
2019-07-28,a,478
2019-07-28,ab,155
2019-07-28,b,601
2019-07-28,o,1138
2019-07-29,a,173
2019-07-29,ab,56
2019-07-29,b,227
2019-07-29,o,423
2019-07-30,a,334
2019-07-30,ab,68
2019-07-30,b,320
2019-07-30,o,664
2019-07-31,a,292
2019-07-31,ab,97
2019-07-31,b,362
2019-07-31,o,616
2019-08-01,a,419
2019-08-01,ab,103
2019-08-01,b,334
2019-08-01,o,700
2019-08-02,a,217
2019-08-02,ab,47
2019-08-02,b,232
2019-08-02,o,613
2019-08-03,a,468
2019-08-03,ab,171
2019-08-03,b,424
2019-08-03,o,938
2019-08-04,a,640
2019-08-04,ab,150
2019-08-04,b,514
2019-08-04,o,1372
2019-08-05,a,179
2019-08-05,ab,63
2019-08-05,b,217
2019-08-05,o,477
2019-08-06,a,355
2019-08-06,ab,163
2019-08-06,b,412
2019-08-06,o,717
2019-08-07,a,482
2019-08-07,ab,129
2019-08-07,b,402
2019-08-07,o,1033
2019-08-08,a,336
2019-08-08,ab,110
2019-08-08,b,392
2019-08-08,o,881
2019-08-09,a,171
2019-08-09,ab,35
2019-08-09,b,352
2019-08-09,o,499
2019-08-10,a,126
2019-08-10,ab,38
2019-08-10,b,131
2019-08-10,o,206
2019-08-11,a,113
2019-08-11,ab,15
2019-08-11,b,90
2019-08-11,o,195
2019-08-12,a,175
2019-08-12,ab,41
2019-08-12,b,146
2019-08-12,o,393
2019-08-13,a,159
2019-08-13,ab,59
2019-08-13,b,200
2019-08-13,o,340
2019-08-14,a,294
2019-08-14,ab,58
2019-08-14,b,304
2019-08-14,o,593
2019-08-15,a,337
2019-08-15,ab,117
2019-08-15,b,334
2019-08-15,o,651
2019-08-16,a,143
2019-08-16,ab,47
2019-08-16,b,138
2019-08-16,o,281
2019-08-17,a,303
2019-08-17,ab,85
2019-08-17,b,329
2019-08-17,o,546
2019-08-18,a,628
2019-08-18,ab,158
2019-08-18,b,583
2019-08-18,o,1248
2019-08-19,a,140
2019-08-19,ab,60
2019-08-19,b,202
2019-08-19,o,405
2019-08-20,a,427
2019-08-20,ab,109
2019-08-20,b,394
2019-08-20,o,765
2019-08-21,a,342
2019-08-21,ab,161
2019-08-21,b,445
2019-08-21,o,792
2019-08-22,a,387
2019-08-22,ab,118
2019-08-22,b,355
2019-08-22,o,678
2019-08-23,a,259
2019-08-23,ab,69
2019-08-23,b,262
2019-08-23,o,469
2019-08-24,a,835
2019-08-24,ab,241
2019-08-24,b,936
2019-08-24,o,1442
2019-08-25,a,706
2019-08-25,ab,277
2019-08-25,b,888
2019-08-25,o,1728
2019-08-26,a,316
2019-08-26,ab,83
2019-08-26,b,262
2019-08-26,o,459
2019-08-27,a,332
2019-08-27,ab,80
2019-08-27,b,328
2019-08-27,o,584
2019-08-28,a,317
2019-08-28,ab,101
2019-08-28,b,337
2019-08-28,o,650
2019-08-29,a,319
2019-08-29,ab,121
2019-08-29,b,458
2019-08-29,o,701
2019-08-30,a,146
2019-08-30,ab,45
2019-08-30,b,190
2019-08-30,o,348
2019-08-31,a,353
2019-08-31,ab,106
2019-08-31,b,358
2019-08-31,o,811
2019-09-01,a,352
2019-09-01,ab,102
2019-09-01,b,409
2019-09-01,o,880
2019-09-02,a,192
2019-09-02,ab,44
2019-09-02,b,190
2019-09-02,o,304
2019-09-03,a,409
2019-09-03,ab,152
2019-09-03,b,548
2019-09-03,o,752
2019-09-04,a,321
2019-09-04,ab,78
2019-09-04,b,362
2019-09-04,o,612
2019-09-05,a,298
2019-09-05,ab,84
2019-09-05,b,363
2019-09-05,o,677
2019-09-06,a,131
2019-09-06,ab,40
2019-09-06,b,150
2019-09-06,o,279
2019-09-07,a,276
2019-09-07,ab,112
2019-09-07,b,353
2019-09-07,o,492
2019-09-08,a,475
2019-09-08,ab,130
2019-09-08,b,563
2019-09-08,o,1045
2019-09-09,a,130
2019-09-09,ab,38
2019-09-09,b,119
2019-09-09,o,243
2019-09-10,a,253
2019-09-10,ab,60
2019-09-10,b,320
2019-09-10,o,441
2019-09-11,a,389
2019-09-11,ab,169
2019-09-11,b,575
2019-09-11,o,820
2019-09-12,a,292
2019-09-12,ab,94
2019-09-12,b,362
2019-09-12,o,674
2019-09-13,a,192
2019-09-13,ab,44
2019-09-13,b,232
2019-09-13,o,375
2019-09-14,a,193
2019-09-14,ab,74
2019-09-14,b,282
2019-09-14,o,508
2019-09-15,a,440
2019-09-15,ab,142
2019-09-15,b,516
2019-09-15,o,1292
2019-09-16,a,386
2019-09-16,ab,118
2019-09-16,b,460
2019-09-16,o,804
2019-09-17,a,195
2019-09-17,ab,50
2019-09-17,b,257
2019-09-17,o,393
2019-09-18,a,322
2019-09-18,ab,107
2019-09-18,b,487
2019-09-18,o,683
2019-09-19,a,315
2019-09-19,ab,81
2019-09-19,b,390
2019-09-19,o,640
2019-09-20,a,232
2019-09-20,ab,70
2019-09-20,b,306
2019-09-20,o,367
2019-09-21,a,278
2019-09-21,ab,120
2019-09-21,b,421
2019-09-21,o,717
2019-09-22,a,747
2019-09-22,ab,188
2019-09-22,b,747
2019-09-22,o,1326
2019-09-23,a,219
2019-09-23,ab,81
2019-09-23,b,362
2019-09-23,o,520
2019-09-24,a,274
2019-09-24,ab,93
2019-09-24,b,374
2019-09-24,o,492
2019-09-25,a,298
2019-09-25,ab,90
2019-09-25,b,388
2019-09-25,o,619
2019-09-26,a,322
2019-09-26,ab,107
2019-09-26,b,396
2019-09-26,o,611
2019-09-27,a,276
2019-09-27,ab,97
2019-09-27,b,356
2019-09-27,o,486
2019-09-28,a,261
2019-09-28,ab,92
2019-09-28,b,423
2019-09-28,o,595
2019-09-29,a,463
2019-09-29,ab,141
2019-09-29,b,592
2019-09-29,o,997
2019-09-30,a,237
2019-09-30,ab,85
2019-09-30,b,319
2019-09-30,o,452
2019-10-01,a,299
2019-10-01,ab,126
2019-10-01,b,368
2019-10-01,o,516
2019-10-02,a,287
2019-10-02,ab,83
2019-10-02,b,425
2019-10-02,o,718
2019-10-03,a,305
2019-10-03,ab,109
2019-10-03,b,510
2019-10-03,o,702
2019-10-04,a,176
2019-10-04,ab,79
2019-10-04,b,232
2019-10-04,o,384
2019-10-05,a,340
2019-10-05,ab,111
2019-10-05,b,487
2019-10-05,o,707
2019-10-06,a,425
2019-10-06,ab,153
2019-10-06,b,590
2019-10-06,o,1002
2019-10-07,a,252
2019-10-07,ab,86
2019-10-07,b,282
2019-10-07,o,435
2019-10-08,a,298
2019-10-08,ab,103
2019-10-08,b,346
2019-10-08,o,576
2019-10-09,a,402
2019-10-09,ab,103
2019-10-09,b,475
2019-10-09,o,670
2019-10-10,a,372
2019-10-10,ab,118
2019-10-10,b,521
2019-10-10,o,715
2019-10-11,a,187
2019-10-11,ab,70
2019-10-11,b,271
2019-10-11,o,505
2019-10-12,a,264
2019-10-12,ab,110
2019-10-12,b,368
2019-10-12,o,658
2019-10-13,a,475
2019-10-13,ab,127
2019-10-13,b,560
2019-10-13,o,808
2019-10-14,a,163
2019-10-14,ab,110
2019-10-14,b,421
2019-10-14,o,322
2019-10-15,a,755
2019-10-15,ab,133
2019-10-15,b,588
2019-10-15,o,707
2019-10-16,a,371
2019-10-16,ab,141
2019-10-16,b,554
2019-10-16,o,818
2019-10-17,a,425
2019-10-17,ab,89
2019-10-17,b,457
2019-10-17,o,660
2019-10-18,a,161
2019-10-18,ab,65
2019-10-18,b,266
2019-10-18,o,263
2019-10-19,a,310
2019-10-19,ab,94
2019-10-19,b,436
2019-10-19,o,515
2019-10-20,a,521
2019-10-20,ab,132
2019-10-20,b,595
2019-10-20,o,789
2019-10-21,a,195
2019-10-21,ab,66
2019-10-21,b,290
2019-10-21,o,384
2019-10-22,a,303
2019-10-22,ab,126
2019-10-22,b,506
2019-10-22,o,539
2019-10-23,a,333
2019-10-23,ab,146
2019-10-23,b,466
2019-10-23,o,603
2019-10-24,a,486
2019-10-24,ab,101
2019-10-24,b,504
2019-10-24,o,685
2019-10-25,a,244
2019-10-25,ab,116
2019-10-25,b,409
2019-10-25,o,583
2019-10-26,a,266
2019-10-26,ab,78
2019-10-26,b,278
2019-10-26,o,414
2019-10-27,a,303
2019-10-27,ab,94
2019-10-27,b,424
2019-10-27,o,572
2019-10-28,a,209
2019-10-28,ab,88
2019-10-28,b,323
2019-10-28,o,517
2019-10-29,a,196
2019-10-29,ab,69
2019-10-29,b,265
2019-10-29,o,473
2019-10-30,a,248
2019-10-30,ab,90
2019-10-30,b,376
2019-10-30,o,440
2019-10-31,a,209
2019-10-31,ab,90
2019-10-31,b,293
2019-10-31,o,362
2019-11-01,a,111
2019-11-01,ab,27
2019-11-01,b,158
2019-11-01,o,201
2019-11-02,a,282
2019-11-02,ab,106
2019-11-02,b,439
2019-11-02,o,495
2019-11-03,a,446
2019-11-03,ab,159
2019-11-03,b,677
2019-11-03,o,740
2019-11-04,a,198
2019-11-04,ab,64
2019-11-04,b,256
2019-11-04,o,351
2019-11-05,a,249
2019-11-05,ab,75
2019-11-05,b,262
2019-11-05,o,513
2019-11-06,a,346
2019-11-06,ab,119
2019-11-06,b,488
